"State 4","Gender","Age 6","target"
"Midwest","Female","18 - 24",0.0124285480780403
"Midwest","Female","25 - 34",0.0175077837448231
"Midwest","Female","35 - 44",0.0165680469643888
"Midwest","Female","45 - 54",0.0169931605450295
"Midwest","Female","55 - 64",0.0185964445862356
"Midwest","Female","65 and up",0.0245667393346449
"Midwest","Male","18 - 24",0.012984038645973
"Midwest","Male","25 - 34",0.0180506470207114
"Midwest","Male","35 - 44",0.0166403525873936
"Midwest","Male","45 - 54",0.0166919330666871
"Midwest","Male","55 - 64",0.0177136802884663
"Midwest","Male","65 and up",0.0196295429794659
"Northeast","Female","18 - 24",0.0101199356425602
"Northeast","Female","25 - 34",0.0150145473809003
"Northeast","Female","35 - 44",0.0137373554763888
"Northeast","Female","45 - 54",0.0150245594134572
"Northeast","Female","55 - 64",0.0158353528729453
"Northeast","Female","65 and up",0.0213008237673522
"Northeast","Male","18 - 24",0.0103691060657084
"Northeast","Male","25 - 34",0.0152528983495113
"Northeast","Male","35 - 44",0.0134084826571667
"Northeast","Male","45 - 54",0.0143152175411441
"Northeast","Male","55 - 64",0.0147064351531837
"Northeast","Male","65 and up",0.016334461754784
"South","Female","18 - 24",0.0224133291583709
"South","Female","25 - 34",0.0333555315298283
"South","Female","35 - 44",0.0319914413270079
"South","Female","45 - 54",0.0320199649854566
"South","Female","55 - 64",0.0325225831989271
"South","Female","65 and up",0.0435657527043713
"South","Male","18 - 24",0.0236394368527085
"South","Male","25 - 34",0.0335026398760115
"South","Male","35 - 44",0.0311577052673453
"South","Male","45 - 54",0.0306543662820581
"South","Male","55 - 64",0.0296449155062437
"South","Male","65 and up",0.0346681239648752
"West","Female","18 - 24",0.0138750544025176
"West","Female","25 - 34",0.0220904076299408
"West","Female","35 - 44",0.0200875245426742
"West","Female","45 - 54",0.0190798225247101
"West","Female","55 - 64",0.019279239999291
"West","Female","65 and up",0.0253153691789306
"West","Male","18 - 24",0.014882587058798
"West","Male","25 - 34",0.023555587064706
"West","Male","35 - 44",0.0206004777574938
"West","Male","45 - 54",0.0190383801145751
"West","Male","55 - 64",0.0182358105433556
"West","Male","65 and up",0.0210338546128412
