"Race 4","Education 4","target"
"Black","College or more",0.0152247449235805
"Hispanic","College or more",0.0170605546792073
"Other","College or more",0.0218851530852382
"White","College or more",0.134355876161161
"Black","High school or less",0.0553252945613237
"Hispanic","High school or less",0.0930753915504274
"Other","High school or less",0.0264779544259525
"White","High school or less",0.217883648523304
"Black","Post graduate degree",0.00879887906197259
"Hispanic","Post graduate degree",0.0074854988981644
"Other","Post graduate degree",0.0154470262254598
"White","Post graduate degree",0.0806649612338983
"Black","Some college",0.041132171039546
"Hispanic","Some college",0.044330404951663
"Other","Some college",0.0226357325582082
"White","Some college",0.198216708120893
