State 4,Education 4,target
Midwest,College or more,0.03928385444811678
Midwest,High school or less,0.08072474172425226
Midwest,Post graduate degree,0.021641151021229422
Midwest,Some college,0.06596055209747738
Northeast,College or more,0.03699474815477542
Northeast,High school or less,0.06693949838786127
Northeast,Post graduate degree,0.025065712345472977
Northeast,Some college,0.04532354636656916
South,College or more,0.06818803559551043
South,High school or less,0.15683148276105044
South,Post graduate degree,0.040041880628232766
South,Some college,0.1153986126364337
West,College or more,0.04818700499792829
West,High school or less,0.0855604940434307
West,Post graduate degree,0.02700668548581038
West,Some college,0.07685199930584863
