State 4,Gender,Age 6,target
Midwest,Female,18 - 24,0.012263065512077263
Midwest,Female,25 - 34,0.017570850636578084
Midwest,Female,35 - 44,0.016586092205083374
Midwest,Female,45 - 54,0.016396065739749482
Midwest,Female,55 - 64,0.018476659512471884
Midwest,Female,65 and up,0.025088612338111063
Midwest,Male,18 - 24,0.012751622187579232
Midwest,Male,25 - 34,0.017998097839742686
Midwest,Male,35 - 44,0.0165852618992104
Midwest,Male,45 - 54,0.016171843988675366
Midwest,Male,55 - 64,0.01755032406544482
Midwest,Male,65 and up,0.020171803366352183
Northeast,Female,18 - 24,0.009883647788901532
Northeast,Female,25 - 34,0.01495206199668361
Northeast,Female,35 - 44,0.013685637963931302
Northeast,Female,45 - 54,0.014435188757683546
Northeast,Female,55 - 64,0.01572970219478002
Northeast,Female,65 and up,0.021690949790922127
Northeast,Male,18 - 24,0.010086649741769194
Northeast,Male,25 - 34,0.015309050440153564
Northeast,Male,35 - 44,0.013356496099503042
Northeast,Male,45 - 54,0.013773478058832443
Northeast,Male,55 - 64,0.01466598245807299
Northeast,Male,65 and up,0.01675465996344547
South,Female,18 - 24,0.022170604177512456
South,Female,25 - 34,0.03344687465878394
South,Female,35 - 44,0.03212557994074695
South,Female,45 - 54,0.031437021379823994
South,Female,55 - 64,0.032630832814062524
South,Female,65 and up,0.044794759021599365
South,Male,18 - 24,0.02338972819126525
South,Male,25 - 34,0.033533735619400915
South,Male,35 - 44,0.03139786384153161
South,Male,45 - 54,0.030088843550880928
South,Male,55 - 64,0.02979114364658582
South,Male,65 and up,0.03565302477903358
West,Female,18 - 24,0.013701813262305731
West,Female,25 - 34,0.022096389715309774
West,Female,35 - 44,0.020219009388460416
West,Female,45 - 54,0.01867052418419971
West,Female,55 - 64,0.019264937025431483
West,Female,65 and up,0.026041830896044206
West,Male,18 - 24,0.01469734608746341
West,Male,25 - 34,0.02355154775614087
West,Male,35 - 44,0.020816152056076447
West,Male,45 - 54,0.018769072091632494
West,Male,55 - 64,0.01817947267454168
West,Male,65 and up,0.02159808869541178
